Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
NeuN_minus.B47_T2_HS - nextera_transposase_sequence	(1, 1.8554459193177897e-06)	(2, 5.566337757953369e-06)	(3, 2.4120796951131264e-05)	(4, 6.122971533748706e-05)	(5, 6.865149901475822e-05)	(6, 7.0506944934076e-05)	(7, 8.90614041272539e-05)	(8, 9.833863372384284e-05)	(9, 0.00019853271336700348)	(10, 0.00030985946852607086)	(11, 0.00038407730529878243)	(12, 0.0004174753318465027)	(13, 0.0004694278175874008)	(14, 0.0005455011002794302)	(15, 0.0006716714227930398)	(16, 0.0008182516504191453)	(17, 0.0009778199994804752)	(18, 0.0011132675515906738)	(19, 0.0012245943067497411)	(20, 0.0016699013273860108)	(21, 0.0020075924847018484)	(22, 0.0028017233381698622)	(23, 0.003211776886339094)	(24, 0.003775832445811702)	(25, 0.004386274153267255)	(26, 0.005241634722072756)	(27, 0.014309198929778794)	(28, 0.025143147652675366)	(29, 0.036856577741328576)	(30, 0.05114351132007555)	(31, 0.06718569673849717)	(32, 0.08711689680380887)	(33, 0.12768993272153095)	(34, 0.20220835173317203)	(35, 0.30312048894710864)	(36, 0.4569889081442943)	(37, 0.6765753663577968)	(38, 0.9006074729939847)	(39, 1.1254726748479462)	(40, 1.374417853842814)
NeuN_minus.B47_T2_HS - polya	(1, 0.000573332789069197)	(2, 0.0005937426941816927)	(3, 0.0006067308156169172)	(4, 0.000643839734003273)	(5, 0.0007533110432430226)	(6, 0.0009833863372384285)	(7, 0.001092857646478178)	(8, 0.001269125008813368)	(9, 0.0013878735476497066)	(10, 0.0022283905491006653)	(11, 0.0033416581006913393)	(12, 0.005213803033282989)	(13, 0.007104502425067816)	(14, 0.00909910678833444)	(15, 0.012218111378707645)	(16, 0.020118600103162795)	(17, 0.02360498298556092)	(18, 0.03619418354813212)	(19, 0.038904990036255416)	(20, 0.04267711159022848)	(21, 0.04610783109504707)	(22, 0.049250956482371405)	(23, 0.05268724232494795)	(24, 0.056780356022963)	(25, 0.05969526156221125)	(26, 0.06719126307625511)	(27, 0.07026944785640334)	(28, 0.07722737005384504)	(29, 0.08038162811668528)	(30, 0.08430404079012309)	(31, 0.08978317258986852)	(32, 0.09340685847029617)	(33, 0.09645535611573529)	(34, 0.10030540639831971)	(35, 0.10615933827376733)	(36, 0.12170240873989246)	(37, 0.1285490041821751)	(38, 0.13473877176901924)	(39, 0.1385220259985082)	(40, 0.14435369252292404)
NeuN_minus.B48_T2_HS - nextera_transposase_sequence	(1, 9.296822035714337e-06)	(2, 1.487491525714294e-05)	(3, 2.4171737292857276e-05)	(4, 3.718728814285735e-05)	(5, 4.0906016957143085e-05)	(6, 4.0906016957143085e-05)	(7, 4.834347458571455e-05)	(8, 5.7640296621428886e-05)	(9, 0.00012457741527857212)	(10, 0.00014688978816428653)	(11, 0.00016734279664285806)	(12, 0.00017849898308571526)	(13, 0.00019523326275000107)	(14, 0.00021568627122857262)	(15, 0.0002472954661500014)	(16, 0.0002844827542928587)	(17, 0.00032910750006428754)	(18, 0.00039046652550000214)	(19, 0.0004499661865285739)	(20, 0.0006544962713142894)	(21, 0.000728870847600004)	(22, 0.0009334009323857194)	(23, 0.0010877281781785774)	(24, 0.0013796483901000077)	(25, 0.0018705205935857245)	(26, 0.0023111899580785843)	(27, 0.005892325806235747)	(28, 0.011046483942835776)	(29, 0.017407369579671525)	(30, 0.024937795428600137)	(31, 0.030569810217835884)	(32, 0.03686561810042163)	(33, 0.04645250098365025)	(34, 0.06147988412217891)	(35, 0.08404884929607903)	(36, 0.12112271621010066)	(37, 0.18166362130667243)	(38, 0.25841260594030857)	(39, 0.3474408331187162)	(40, 0.4623291004716668)
NeuN_minus.B48_T2_HS - polya	(1, 0.001359195381621436)	(2, 0.0014428667799428652)	(3, 0.0014967883477500082)	(4, 0.0016157876698071518)	(5, 0.0020955036868500116)	(6, 0.003123732204000017)	(7, 0.0035811358481571626)	(8, 0.004276538136428595)	(9, 0.004784144619578597)	(10, 0.007266396103114326)	(11, 0.01056304919697863)	(12, 0.014365449409585793)	(13, 0.01898782932574296)	(14, 0.023784989496171558)	(15, 0.031101588438278743)	(16, 0.044366294118835956)	(17, 0.050970756493007426)	(18, 0.07183096577674325)	(19, 0.07744066819309328)	(20, 0.08419945781305761)	(21, 0.0911088559500005)	(22, 0.09739908573936482)	(23, 0.10386223641859343)	(24, 0.11125320993698633)	(25, 0.11718086366695779)	(26, 0.12835564375388642)	(27, 0.13405273629737216)	(28, 0.1442941154519151)	(29, 0.1500507076564294)	(30, 0.15698241816625802)	(31, 0.16584228956629377)	(32, 0.17218458155905808)	(33, 0.17801740770426527)	(34, 0.18479665033270815)	(35, 0.19386662991075107)	(36, 0.2129920522026226)	(37, 0.2224915449587155)	(38, 0.231699117502887)	(39, 0.23797075364817988)	(40, 0.24694032754823708)
NeuN_minus.B50_T1_HS - nextera_transposase_sequence	(1, 1.6243334243230773e-05)	(2, 2.320476320461539e-05)	(3, 3.5967382967153855e-05)	(4, 6.84540514536154e-05)	(5, 8.121667121615387e-05)	(6, 9.281905281846157e-05)	(7, 0.00010558167258100003)	(8, 0.00011834429234353849)	(9, 0.00021232358332223082)	(10, 0.0002854185874167693)	(11, 0.0003434304954283078)	(12, 0.0003701159731136155)	(13, 0.0004002821652796155)	(14, 0.0004571338351309232)	(15, 0.0005476324116289232)	(16, 0.0006381309881269233)	(17, 0.0007390717080670002)	(18, 0.0008411726661673079)	(19, 0.0009351519571460002)	(20, 0.0011555972075898465)	(21, 0.001299466739458462)	(22, 0.0015280336570239234)	(23, 0.001756600574589385)	(24, 0.002062903448890308)	(25, 0.002448102518086924)	(26, 0.0030409842179648467)	(27, 0.011436467545394695)	(28, 0.022000435994295853)	(29, 0.03441730478508555)	(30, 0.046338751881456704)	(31, 0.0555580043026504)	(32, 0.06530284461042864)	(33, 0.07867110869260756)	(34, 0.09643899587838156)	(35, 0.12005448339171865)	(36, 0.15690596783696834)	(37, 0.2122818147484625)	(38, 0.2742791408403937)	(39, 0.33946248092031855)	(40, 0.4125249983463706)
NeuN_minus.B50_T1_HS - polya	(1, 0.0008562557622503079)	(2, 0.000906146003140231)	(3, 0.000936312195306231)	(4, 0.001022169819163308)	(5, 0.0012623391183310773)	(6, 0.0018053305773190773)	(7, 0.0020199746369617697)	(8, 0.002387770133754924)	(9, 0.0026639068158898467)	(10, 0.0040503914173656164)	(11, 0.005934618189580386)	(12, 0.008347913562860387)	(13, 0.010888835133765772)	(14, 0.013545780520694235)	(15, 0.017465065025953772)	(16, 0.026007898599732928)	(17, 0.0301395066883147)	(18, 0.043792029119750164)	(19, 0.04723677621747532)	(20, 0.05150645264712455)	(21, 0.05594204313368678)	(22, 0.05967917024779009)	(23, 0.06376436880996263)	(24, 0.06873482908839125)	(25, 0.07245803334457179)	(26, 0.08048108022256756)	(27, 0.08420312424058787)	(28, 0.09189898395739857)	(29, 0.09557113773452895)	(30, 0.10045109943645956)	(31, 0.10662472668704749)	(32, 0.11100926669455957)	(33, 0.11494015358142141)	(34, 0.11970873241996988)	(35, 0.12663419399838735)	(36, 0.14203055438464965)	(37, 0.1489815412025922)	(38, 0.15611700588801142)	(39, 0.16097028211225672)	(40, 0.16769850320343496)
NeuN_minus.B51_T1_HS - nextera_transposase_sequence	(1, 1.9278509183888173e-05)	(2, 2.2491594047869535e-05)	(3, 3.5343933503794986e-05)	(4, 8.835983375948746e-05)	(5, 9.799908835143154e-05)	(6, 0.00010281871564740359)	(7, 0.00011406451267133835)	(8, 0.00013816264915119856)	(9, 0.00024901407695855556)	(10, 0.0003887832685417448)	(11, 0.0004642907628453068)	(12, 0.0005333720874209061)	(13, 0.0005912076149725706)	(14, 0.0006667151092761326)	(15, 0.000820943182747238)	(16, 0.0009703516289223714)	(17, 0.0011390385842813928)	(18, 0.0013157582518003677)	(19, 0.0015037237163432774)	(20, 0.0018860808151570595)	(21, 0.002141521061843578)	(22, 0.0026058118246888844)	(23, 0.0029126614291991046)	(24, 0.0034685251106678803)	(25, 0.004062945810504432)	(26, 0.005018838557538888)	(27, 0.0165843375254398)	(28, 0.030318668776528133)	(29, 0.04571255835986284)	(30, 0.06048953564931312)	(31, 0.07505284279530865)	(32, 0.0941964024149096)	(33, 0.1292768629598581)	(34, 0.1890996834998951)	(35, 0.2768426049654981)	(36, 0.4225094138165252)	(37, 0.636298441411253)	(38, 0.8726481443784261)	(39, 1.1170337725904165)	(40, 1.372082022923529)
NeuN_minus.B51_T1_HS - polya	(1, 0.0004642907628453068)	(2, 0.0005092739509410459)	(3, 0.0005349786298528968)	(4, 0.0006136992090204402)	(5, 0.0007727469097875176)	(6, 0.0011406451267133835)	(7, 0.001299692827480461)	(8, 0.0015438872771430445)	(9, 0.0017286396568219728)	(10, 0.0026684669795365213)	(11, 0.0038316037002977745)	(12, 0.005356212468256931)	(13, 0.007070393243190987)	(14, 0.008733164660301341)	(15, 0.01104015959263996)	(16, 0.016860662823742198)	(17, 0.01950985129409483)	(18, 0.028692847835353565)	(19, 0.03095003995230047)	(20, 0.03380004622665194)	(21, 0.03663077399181952)	(22, 0.03903898109737355)	(23, 0.041930757474956774)	(24, 0.04529003770024929)	(25, 0.047695031720939335)	(26, 0.053141210565387745)	(27, 0.05569882611711691)	(28, 0.06070159925033589)	(29, 0.06323993629288117)	(30, 0.06628754728636749)	(31, 0.07063485110733428)	(32, 0.07339167792063028)	(33, 0.07577418034727246)	(34, 0.07889729883506234)	(35, 0.08335866716870047)	(36, 0.09338027885945833)	(37, 0.09814689025517469)	(38, 0.10270304459230026)	(39, 0.10589685094709773)	(40, 0.11020399120726475)
NeuN_minus.B52_T1_HS - nextera_transposase_sequence	(1, 1.0165794105496443e-05)	(2, 1.3554392140661925e-05)	(3, 2.710878428132385e-05)	(4, 6.099476463297866e-05)	(5, 7.285485775605785e-05)	(6, 7.454915677364059e-05)	(7, 8.302065186155429e-05)	(8, 9.826934301979896e-05)	(9, 0.00019484438702201516)	(10, 0.00025075625460224563)	(11, 0.00029819662709456234)	(12, 0.0003337769064637999)	(13, 0.0003812172789561166)	(14, 0.0004472949406418435)	(15, 0.0005557300777671389)	(16, 0.0006743310089979308)	(17, 0.0007675174549649815)	(18, 0.0008861183861957733)	(19, 0.0009979421213562342)	(20, 0.0012775014592573864)	(21, 0.0014350712678925812)	(22, 0.001873894713446511)	(23, 0.002075516296538857)	(24, 0.002388961614791664)	(25, 0.0028565881436445006)	(26, 0.003369960745972071)	(27, 0.007737863613300376)	(28, 0.015404566667862277)	(29, 0.02457411295102007)	(30, 0.03389275754772514)	(31, 0.04115621743610235)	(32, 0.04793849640348606)	(33, 0.05782303687206377)	(34, 0.07467792349897687)	(35, 0.09839641544611766)	(36, 0.13907653485827925)	(37, 0.2074635261049714)	(38, 0.2915922495240248)	(39, 0.38808766147241464)	(40, 0.5043131854805555)
NeuN_minus.B52_T1_HS - polya	(1, 0.0007302428765781612)	(2, 0.0007709060530001469)	(3, 0.0007980148372814708)	(4, 0.0008674810970023632)	(5, 0.00116228912606176)	(6, 0.0017434336890926401)	(7, 0.0020263816250289577)	(8, 0.002541448526374111)	(9, 0.002946385991576386)	(10, 0.004645767906211875)	(11, 0.006977123354405725)	(12, 0.010428410453221768)	(13, 0.014059293247901582)	(14, 0.017734227817038546)	(15, 0.023086518413582422)	(16, 0.03405202165537792)	(17, 0.03918405337963604)	(18, 0.056182955423043676)	(19, 0.06040006567780712)	(20, 0.06574557907828066)	(21, 0.07084711342022229)	(22, 0.07542680366474844)	(23, 0.08024708436977133)	(24, 0.08572644739263392)	(25, 0.09002318970122375)	(26, 0.09946551812621236)	(27, 0.10390627585129673)	(28, 0.1120575484248873)	(29, 0.11646272587060241)	(30, 0.12224197981957714)	(31, 0.12979855343799618)	(32, 0.13503054880429166)	(33, 0.13952213549990353)	(34, 0.14525225477736833)	(35, 0.15322393165509515)	(36, 0.1715460812312349)	(37, 0.18007518248574642)	(38, 0.1884704341178689)	(39, 0.19409042395919085)	(40, 0.2018689507489132)
NeuN_minus.B53_T1_HS - nextera_transposase_sequence	(1, 4.9743540544252035e-06)	(2, 1.4923062163275611e-05)	(3, 2.818800630840949e-05)	(4, 6.798283874381111e-05)	(5, 8.788025496151192e-05)	(6, 9.285460901593713e-05)	(7, 0.00010943578919735448)	(8, 0.00013099132343319703)	(9, 0.0002454014666849767)	(10, 0.0003216748955194965)	(11, 0.00037970902615445723)	(12, 0.000431110684716851)	(13, 0.00048748669733366995)	(14, 0.0005455208279686307)	(15, 0.0006317429649120009)	(16, 0.0007345462820367884)	(17, 0.0008655376054699854)	(18, 0.0010280331712478755)	(19, 0.001162340730717356)	(20, 0.001492306216327561)	(21, 0.0016846479064320022)	(22, 0.0020643569325864597)	(23, 0.0023147327533258612)	(24, 0.0027010742515528856)	(25, 0.0031636891786144296)	(26, 0.003802064615598997)	(27, 0.008729991365516233)	(28, 0.01662263313187089)	(29, 0.02623142704700224)	(30, 0.03632273330541284)	(31, 0.045477202883573355)	(32, 0.056041072777154345)	(33, 0.07394874737308507)	(34, 0.10419945249606288)	(35, 0.147907443454279)	(36, 0.22090940543900514)	(37, 0.3357672405556831)	(38, 0.4704677739954632)	(39, 0.6173587911046213)	(40, 0.7816981841186849)
NeuN_minus.B53_T1_HS - polya	(1, 0.0008274008910527256)	(2, 0.0008522726613248516)	(3, 0.0008705119595244106)	(4, 0.0009302042081775131)	(5, 0.001135810842427088)	(6, 0.0016067163595793407)	(7, 0.0018355366460829)	(8, 0.0022086132001647905)	(9, 0.002465621492976759)	(10, 0.0038667312183065248)	(11, 0.0057188490445708425)	(12, 0.008540965911448074)	(13, 0.01140453572877885)	(14, 0.014331114030799012)	(15, 0.018728443014910893)	(16, 0.028728552782323693)	(17, 0.03362165905385995)	(18, 0.04967224146947194)	(19, 0.05339637453821828)	(20, 0.0581170365358678)	(21, 0.06260058765692304)	(22, 0.06649882311757427)	(23, 0.07088288715754101)	(24, 0.07598989065341755)	(25, 0.07995445083479444)	(26, 0.08877563869130847)	(27, 0.09274019887268535)	(28, 0.10054993473813292)	(29, 0.10447967444112884)	(30, 0.10942584048924563)	(31, 0.11621915000957231)	(32, 0.1208187693918975)	(33, 0.12498893620752395)	(34, 0.13021698231872483)	(35, 0.13764866727603609)	(36, 0.15619305919093326)	(37, 0.16454831588434946)	(38, 0.17264656428495367)	(39, 0.17783813179975547)	(40, 0.1855434062300601)
NeuN_minus.B54_T1_HS - nextera_transposase_sequence	(1, 5.831552684919751e-06)	(2, 7.775403579893001e-06)	(3, 2.5270061634652254e-05)	(4, 5.054012326930451e-05)	(5, 5.831552684919751e-05)	(6, 6.220322863914401e-05)	(7, 7.581018490395675e-05)	(8, 8.16417375888765e-05)	(9, 0.000132181860858181)	(10, 0.00015939577338780652)	(11, 0.000178834282337539)	(12, 0.00019049738770737852)	(13, 0.00021187974755208428)	(14, 0.00023520595829176327)	(15, 0.00028574608156106777)	(16, 0.00031879154677561303)	(17, 0.0003712755209398908)	(18, 0.00041598409152427557)	(19, 0.00045097340763379404)	(20, 0.0005695483122271623)	(21, 0.0006492461989210655)	(22, 0.0008630697973681231)	(23, 0.0009622061930117589)	(24, 0.0011235458172945386)	(25, 0.001337369415741596)	(26, 0.0016853187259418079)	(27, 0.005398073935340716)	(28, 0.010487075578380686)	(29, 0.016514957203692733)	(30, 0.02293549670978938)	(31, 0.028244153503961325)	(32, 0.033442010797119795)	(33, 0.04097443301514114)	(34, 0.052999094651445665)	(35, 0.07006416165841584)	(36, 0.09851436335724433)	(37, 0.14256202463733816)	(38, 0.19463390241188158)	(39, 0.25332459248380895)	(40, 0.32438011809866113)
NeuN_minus.B54_T1_HS - polya	(1, 0.000987476254646411)	(2, 0.0010691179922352875)	(3, 0.0011118827119246991)	(4, 0.0012362891692029871)	(5, 0.001593957733878065)	(6, 0.0023889927499221243)	(7, 0.00272722280564747)	(8, 0.003382300557253455)	(9, 0.003759407630878266)	(10, 0.005656606104372158)	(11, 0.008150566802622838)	(12, 0.011546474316141106)	(13, 0.015121216111996913)	(14, 0.018651249337268336)	(15, 0.023425347135322638)	(16, 0.03409320084693584)	(17, 0.039386306833948)	(18, 0.05633863048900971)	(19, 0.060659811028535245)	(20, 0.06594902931375746)	(21, 0.07121297753734503)	(22, 0.07576158863158243)	(23, 0.08069702605391951)	(24, 0.08664520979253765)	(25, 0.09105386362233699)	(26, 0.100862535238372)	(27, 0.10538782012186973)	(28, 0.11442478293260037)	(29, 0.11895201166699307)	(30, 0.12453280758646128)	(31, 0.13189028322393503)	(32, 0.1371445121930477)	(33, 0.14226655930130225)	(34, 0.14806701037190242)	(35, 0.15624284723615992)	(36, 0.17388523795893712)	(37, 0.18225934761448187)	(38, 0.19045656683858408)	(39, 0.19602375580178746)	(40, 0.20396244285685822)
NeuN_minus.B55_T1_HS - nextera_transposase_sequence	(1, 5.546505603539281e-05)	(2, 6.0664905038710886e-05)	(3, 8.839743305640729e-05)	(4, 0.00012826294208184586)	(5, 0.00013346279108516395)	(6, 0.000138662640088482)	(7, 0.00015252890409733023)	(8, 0.00016639516810617843)	(9, 0.00022359350714267726)	(10, 0.00029292482718691826)	(11, 0.00034145675121788696)	(12, 0.00038132226024332555)	(13, 0.00042812090127318823)	(14, 0.00047838610830526295)	(15, 0.0005563838433550341)	(16, 0.0006378481444070173)	(17, 0.0007279788604645306)	(18, 0.0008025100295120897)	(19, 0.000890907462568497)	(20, 0.0010555693476735693)	(21, 0.0011786324407520971)	(22, 0.0014247586269091528)	(23, 0.001585953946012013)	(24, 0.00179221462314363)	(25, 0.0020262078282929433)	(26, 0.0023572648815041943)	(27, 0.0058931622037604854)	(28, 0.009952510992350797)	(29, 0.014485046040243053)	(30, 0.019185709539242594)	(31, 0.023142794630767648)	(32, 0.02766839654665548)	(33, 0.03490138651027092)	(34, 0.04676397536984056)	(35, 0.0636617513476232)	(36, 0.09278783889820885)	(37, 0.1383437160162785)	(38, 0.19073392800770922)	(39, 0.24818185979636734)	(40, 0.31522004643014506)
NeuN_minus.B55_T1_HS - polya	(1, 0.0015582214179943167)	(2, 0.0015911537950153312)	(3, 0.0016067533420252853)	(4, 0.0016726180960673143)	(5, 0.001854612811183447)	(6, 0.0023815308435196788)	(7, 0.00260339106766125)	(8, 0.002941381252876925)	(9, 0.00317884102402845)	(10, 0.004380006143794926)	(11, 0.0062138195589651005)	(12, 0.00864734889251796)	(13, 0.011254206526181422)	(14, 0.014013593063942214)	(15, 0.0182098712096199)	(16, 0.02901169087251265)	(17, 0.03392381489764713)	(18, 0.05179222935604914)	(19, 0.05572504848555871)	(20, 0.060964762997902225)	(21, 0.06644367056439837)	(22, 0.07092940697126077)	(23, 0.07602699227751358)	(24, 0.08191842119827296)	(25, 0.08637469179411655)	(26, 0.09686972036581354)	(27, 0.10147158673375004)	(28, 0.11210354466253439)	(29, 0.11684060710455715)	(30, 0.12261070621523912)	(31, 0.1310032625065945)	(32, 0.1364180386020497)	(33, 0.14091070814091652)	(34, 0.1467154729116206)	(35, 0.15566441304633102)	(36, 0.17742231455921495)	(37, 0.18668844548312777)	(38, 0.19561138637282158)	(39, 0.20161547868865284)	(40, 0.21022642863814758)
NeuN_minus.B56_T1_HS - nextera_transposase_sequence	(1, 6.29615177629395e-06)	(2, 1.4166341496661386e-05)	(3, 2.6758645049249285e-05)	(4, 6.296151776293949e-05)	(5, 6.610959365108647e-05)	(6, 7.083170748330694e-05)	(7, 8.972016281218878e-05)	(8, 9.601631458848273e-05)	(9, 0.0001605518702954957)	(10, 0.00021879127422621476)	(11, 0.000248697995163611)	(12, 0.00027860471610100727)	(13, 0.0003006412473180361)	(14, 0.00034471430975209375)	(15, 0.0004375825484524295)	(16, 0.0005241546353764714)	(17, 0.0005902642290275578)	(18, 0.0006894286195041875)	(19, 0.0007917410858689642)	(20, 0.000991643904766297)	(21, 0.001136455395621058)	(22, 0.0014087639599457713)	(23, 0.0015960744752905162)	(24, 0.0019093080261611403)	(25, 0.002269762715353969)	(26, 0.002760862553904897)	(27, 0.00853443373276645)	(28, 0.015279186323121342)	(29, 0.02296521360403218)	(30, 0.030644944733166726)	(31, 0.03809801439835469)	(32, 0.0481545428230402)	(33, 0.06602931771593873)	(34, 0.09525920233738339)	(35, 0.13577336497989087)	(36, 0.20155870681449822)	(37, 0.3007183751772957)	(38, 0.4138287418384165)	(39, 0.5332022054790058)	(40, 0.6657204599905526)
NeuN_minus.B56_T1_HS - polya	(1, 0.0010734938778581185)	(2, 0.001136455395621058)	(3, 0.001169510192446601)	(4, 0.001243489975818055)	(5, 0.0014937620089257395)	(6, 0.001983287809532594)	(7, 0.0021879127422621473)	(8, 0.0024917020654683306)	(9, 0.002729381795023427)	(10, 0.003953983315512601)	(11, 0.005762552913253037)	(12, 0.008087406956649579)	(13, 0.010739660892413405)	(14, 0.013207752388720633)	(15, 0.01697914730272071)	(16, 0.025485248352493835)	(17, 0.029475434540720127)	(18, 0.04289253397600253)	(19, 0.04623893864510276)	(20, 0.050474674752604524)	(21, 0.05480327909880661)	(22, 0.05865652398589851)	(23, 0.06288911201751211)	(24, 0.06766789121571923)	(25, 0.0713086409803612)	(26, 0.0790859624620283)	(27, 0.08262912187413772)	(28, 0.09015931939858529)	(29, 0.09390867778136833)	(30, 0.09850172050217477)	(31, 0.10460426561134768)	(32, 0.10884944594651387)	(33, 0.11244927072460995)	(34, 0.11704388748336045)	(35, 0.12353836804060767)	(36, 0.13887894184354788)	(37, 0.14567878576194535)	(38, 0.15216854420536033)	(39, 0.15676316096411083)	(40, 0.16313329252377623)
NeuN_minus.B57_T2_HS - nextera_transposase_sequence	(1, 2.8893640287513946e-05)	(2, 3.3338815716362246e-05)	(3, 4.4451754288483e-05)	(4, 7.11228068615728e-05)	(5, 7.334539457599694e-05)	(6, 7.556798229042109e-05)	(7, 8.001315771926939e-05)	(8, 8.668092086254184e-05)	(9, 0.00013335526286544898)	(10, 0.00020225548201259762)	(11, 0.00023337171001453573)	(12, 0.0002600427625876255)	(13, 0.0002844912274462912)	(14, 0.0003400559203068949)	(15, 0.0004111787271684677)	(16, 0.0004911918848877371)	(17, 0.0005600921040348857)	(18, 0.0006267697354676102)	(19, 0.0007090054809013038)	(20, 0.0008823673226263874)	(21, 0.0010246129363495331)	(22, 0.0012735427603650378)	(23, 0.001482466005520908)	(24, 0.001738063592679685)	(25, 0.0020470032849846417)	(26, 0.002584869511875286)	(27, 0.010350590986073266)	(28, 0.01875197254659655)	(29, 0.027795681956588415)	(30, 0.036108160008534736)	(31, 0.04290038806381494)	(32, 0.05028160186341754)	(33, 0.06132119504096229)	(34, 0.07802838689028863)	(35, 0.09956526184305864)	(36, 0.13197725848250602)	(37, 0.1833034765717029)	(38, 0.2412663415761703)	(39, 0.3047878984544125)	(40, 0.3784577908367154)
NeuN_minus.B58_T1_HS - nextera_transposase_sequence	(1, 9.710827671904615e-06)	(2, 1.165299320628554e-05)	(3, 2.1363820878190155e-05)	(4, 5.438063496266585e-05)	(5, 6.0207131565808617e-05)	(6, 6.409146263457047e-05)	(7, 7.380229030647508e-05)	(8, 8.739744904714154e-05)	(9, 0.00019421655343809232)	(10, 0.00029715132676028127)	(11, 0.00035347412725732805)	(12, 0.00040591259668561295)	(13, 0.0004602932316482788)	(14, 0.0005457485151610395)	(15, 0.0007341385719959889)	(16, 0.0009128178011590339)	(17, 0.0010662488783751269)	(18, 0.001237159445400648)	(19, 0.001419723005632455)	(20, 0.0018625367474713053)	(21, 0.0021849362261785387)	(22, 0.002821966521455481)	(23, 0.003262838097759951)	(24, 0.003818297440592895)	(25, 0.0045388408538482175)	(26, 0.005610916228826487)	(27, 0.019545953938009612)	(28, 0.034739514913471575)	(29, 0.05085754668329885)	(30, 0.06612102561799853)	(31, 0.07923841163720728)	(32, 0.09524573997157486)	(33, 0.12437239649068556)	(34, 0.17598738773239297)	(35, 0.2500829450345596)	(36, 0.3740707927494377)	(37, 0.5618393566133854)	(38, 0.7684236201744153)	(39, 0.9823201369723896)	(40, 1.2151527677305778)
NeuN_minus.B59_T1_HS - nextera_transposase_sequence	(1, 8.809735803677608e-05)	(2, 9.387423397361386e-05)	(3, 0.00010542798584728942)	(4, 0.00012997970857884996)	(5, 0.0001415334604525255)	(6, 0.0001444218984209444)	(7, 0.00015886408826303885)	(8, 0.00016464096419987662)	(9, 0.00021807706661562605)	(10, 0.0002599594171576999)	(11, 0.0002859553588734699)	(12, 0.00030328598668398325)	(13, 0.00032061661449449654)	(14, 0.0003437241182418477)	(15, 0.00038993912573654987)	(16, 0.0004246003813575765)	(17, 0.0004765922647891165)	(18, 0.0005805760316521965)	(19, 0.0006542311998468781)	(20, 0.0009344096827835103)	(21, 0.0010687220483149885)	(22, 0.0013878944438252758)	(23, 0.0015814197877093413)	(24, 0.002013241263987965)	(25, 0.002534604317287574)	(26, 0.0033910261749237744)	(27, 0.013497670626421463)	(28, 0.02631078145432765)	(29, 0.04224918216406307)	(30, 0.057862633602351374)	(31, 0.07447548457771261)	(32, 0.09729125609025341)	(33, 0.13547351759478268)	(34, 0.19691059318305243)	(35, 0.2878155129251317)	(36, 0.4360689243111837)	(37, 0.6624228099253141)	(38, 0.9336716868825793)	(39, 1.2287314022325055)	(40, 1.557725931054401)
NeuN_minus.B59_T1_HS - polya	(1, 0.0004881460166627921)	(2, 0.000517030396346981)	(3, 0.000569022279778521)	(4, 0.0006585638567995065)	(5, 0.0009936226611360975)	(6, 0.0015395374371672673)	(7, 0.001753281846830265)	(8, 0.0022009897319351926)	(9, 0.0025519349450980875)	(10, 0.004043813155786443)	(11, 0.00589530189354295)	(12, 0.008145395070941265)	(13, 0.010791204250012966)	(14, 0.013785070204279142)	(15, 0.018221710923770555)	(16, 0.025340266296938904)	(17, 0.02913567378744132)	(18, 0.03939107279431259)	(19, 0.042614569567068064)	(20, 0.046487964882717794)	(21, 0.05032236628579387)	(22, 0.05381593200859651)	(23, 0.05740481618435698)	(24, 0.06130276322273827)	(25, 0.06460713625860948)	(26, 0.07018326575664215)	(27, 0.07346886394571862)	(28, 0.07841242552866755)	(29, 0.08165036449126513)	(30, 0.08520169897343614)	(31, 0.08966866829159596)	(32, 0.0930235889919145)	(33, 0.09611999449405954)	(34, 0.09948213628929913)	(35, 0.10393610763660105)	(36, 0.11239345400813155)	(37, 0.11682576207067034)	(38, 0.12127251232305122)	(39, 0.12453067035142773)	(40, 0.1286683577411878)
NeuN_minus.B60_T1_HS - nextera_transposase_sequence	(1, 1.712348438872165e-05)	(2, 2.490688638359513e-05)	(3, 3.891700997436739e-05)	(4, 6.693725715591191e-05)	(5, 7.939070034770947e-05)	(6, 8.250406114565887e-05)	(7, 9.651418473643113e-05)	(8, 0.00011519434952412748)	(9, 0.00018368828707901406)	(10, 0.000250625544234926)	(11, 0.0002973259562041669)	(12, 0.0003440263681734077)	(13, 0.0003860567389457245)	(14, 0.000429643790117016)	(15, 0.0005152612120606242)	(16, 0.0006055486752011566)	(17, 0.0007051762207355371)	(18, 0.0008483908174412091)	(19, 0.0009791519709550834)	(20, 0.0013698787510977321)	(21, 0.0015769172441613666)	(22, 0.002137322187792257)	(23, 0.002475121834369766)	(24, 0.003160061209918632)	(25, 0.003880804234643916)	(26, 0.0052428995837467745)	(27, 0.021686114638116483)	(28, 0.04250827165480201)	(29, 0.06662592107611696)	(30, 0.08965856425934657)	(31, 0.11185994010952367)	(32, 0.14157385556515267)	(33, 0.19267655970269396)	(34, 0.2762329367980597)	(35, 0.3974531961466182)	(36, 0.5968950888632563)	(37, 0.9046212268129731)	(38, 1.2705812218079342)	(39, 1.6692455153049548)	(40, 2.098637123197337)
