Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
NeuN_minus.B44_T1_HS	(15.0, 2.0)	(16.0, 5.0)	(17.0, 8.0)	(18.0, 14.0)	(19.0, 93.0)	(20.0, 293.0)	(21.0, 903.0)	(22.0, 2634.0)	(23.0, 7224.0)	(24.0, 17415.0)	(25.0, 37520.0)	(26.0, 73504.0)	(27.0, 131175.0)	(28.0, 214836.0)	(29.0, 328240.0)	(30.0, 469937.0)	(31.0, 640804.0)	(32.0, 837514.0)	(33.0, 1059145.0)	(34.0, 1309934.0)	(35.0, 1612749.0)	(36.0, 1990537.0)	(37.0, 2565618.0)	(38.0, 3685075.0)	(39.0, 7503817.0)	(40.0, 22635472.0)			
NeuN_minus.B45_T2_HS	(14.0, 1.0)	(15.0, 1.0)	(16.0, 17.0)	(17.0, 70.0)	(18.0, 231.0)	(19.0, 593.0)	(20.0, 1303.0)	(21.0, 2709.0)	(22.0, 5054.0)	(23.0, 9416.0)	(24.0, 17632.0)	(25.0, 32017.0)	(26.0, 56784.0)	(27.0, 95166.0)	(28.0, 150816.0)	(29.0, 225397.0)	(30.0, 319077.0)	(31.0, 435450.0)	(32.0, 574584.0)	(33.0, 737003.0)	(34.0, 941231.0)	(35.0, 1201342.0)	(36.0, 1568732.0)	(37.0, 2185029.0)	(38.0, 3552917.0)	(39.0, 8455771.0)	(40.0, 32457754.0)		
NeuN_minus.B46_T2_HS	(12.0, 3.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 7.0)	(16.0, 3.0)	(17.0, 36.0)	(18.0, 75.0)	(19.0, 179.0)	(20.0, 447.0)	(21.0, 1181.0)	(22.0, 2876.0)	(23.0, 6691.0)	(24.0, 15355.0)	(25.0, 31960.0)	(26.0, 61400.0)	(27.0, 109120.0)	(28.0, 178739.0)	(29.0, 271678.0)	(30.0, 388235.0)	(31.0, 529625.0)	(32.0, 690554.0)	(33.0, 877637.0)	(34.0, 1096397.0)	(35.0, 1355929.0)	(36.0, 1710976.0)	(37.0, 2254617.0)	(38.0, 3334920.0)	(39.0, 7210723.0)	(40.0, 28960026.0)
NeuN_minus.B47_T2_HS	(12.0, 1.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 5.0)	(16.0, 18.0)	(17.0, 60.0)	(18.0, 136.0)	(19.0, 380.0)	(20.0, 921.0)	(21.0, 1874.0)	(22.0, 3737.0)	(23.0, 7262.0)	(24.0, 14686.0)	(25.0, 27681.0)	(26.0, 51206.0)	(27.0, 87842.0)	(28.0, 142327.0)	(29.0, 215092.0)	(30.0, 308533.0)	(31.0, 422643.0)	(32.0, 559161.0)	(33.0, 720712.0)	(34.0, 915852.0)	(35.0, 1169868.0)	(36.0, 1519992.0)	(37.0, 2091212.0)	(38.0, 3305531.0)	(39.0, 8003625.0)	(40.0, 34325040.0)
NeuN_minus.B48_T2_HS	(13.0, 4.0)	(14.0, 0.0)	(15.0, 5.0)	(16.0, 13.0)	(17.0, 38.0)	(18.0, 89.0)	(19.0, 261.0)	(20.0, 616.0)	(21.0, 1297.0)	(22.0, 2808.0)	(23.0, 5788.0)	(24.0, 11936.0)	(25.0, 23600.0)	(26.0, 45023.0)	(27.0, 79669.0)	(28.0, 130438.0)	(29.0, 200491.0)	(30.0, 291810.0)	(31.0, 404891.0)	(32.0, 541151.0)	(33.0, 705344.0)	(34.0, 905166.0)	(35.0, 1159121.0)	(36.0, 1501902.0)	(37.0, 2051998.0)	(38.0, 3185194.0)	(39.0, 7697488.0)	(40.0, 34835678.0)	
NeuN_minus.B50_T1_HS	(12.0, 1.0)	(13.0, 1.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 7.0)	(17.0, 32.0)	(18.0, 98.0)	(19.0, 314.0)	(20.0, 840.0)	(21.0, 2168.0)	(22.0, 4919.0)	(23.0, 11150.0)	(24.0, 24497.0)	(25.0, 50175.0)	(26.0, 95417.0)	(27.0, 166627.0)	(28.0, 270687.0)	(29.0, 408221.0)	(30.0, 578223.0)	(31.0, 781054.0)	(32.0, 1014328.0)	(33.0, 1282877.0)	(34.0, 1595713.0)	(35.0, 1976754.0)	(36.0, 2495354.0)	(37.0, 3300683.0)	(38.0, 4920075.0)	(39.0, 11079737.0)	(40.0, 56129245.0)
NeuN_minus.B51_T1_HS	(13.0, 2.0)	(14.0, 2.0)	(15.0, 5.0)	(16.0, 26.0)	(17.0, 76.0)	(18.0, 250.0)	(19.0, 715.0)	(20.0, 1476.0)	(21.0, 3134.0)	(22.0, 5854.0)	(23.0, 10614.0)	(24.0, 19562.0)	(25.0, 35407.0)	(26.0, 61563.0)	(27.0, 103293.0)	(28.0, 163404.0)	(29.0, 244619.0)	(30.0, 345012.0)	(31.0, 467120.0)	(32.0, 608818.0)	(33.0, 776588.0)	(34.0, 978257.0)	(35.0, 1235209.0)	(36.0, 1601706.0)	(37.0, 2211240.0)	(38.0, 3594297.0)	(39.0, 8583651.0)	(40.0, 41193577.0)	
NeuN_minus.B52_T1_HS	(13.0, 3.0)	(14.0, 1.0)	(15.0, 6.0)	(16.0, 19.0)	(17.0, 46.0)	(18.0, 166.0)	(19.0, 385.0)	(20.0, 939.0)	(21.0, 1913.0)	(22.0, 3773.0)	(23.0, 7296.0)	(24.0, 14089.0)	(25.0, 26460.0)	(26.0, 48200.0)	(27.0, 82978.0)	(28.0, 133209.0)	(29.0, 202892.0)	(30.0, 293487.0)	(31.0, 405491.0)	(32.0, 539372.0)	(33.0, 703014.0)	(34.0, 901008.0)	(35.0, 1157474.0)	(36.0, 1517358.0)	(37.0, 2096057.0)	(38.0, 3325633.0)	(39.0, 8331800.0)	(40.0, 39228390.0)	
NeuN_minus.B53_T1_HS	(12.0, 1.0)	(13.0, 1.0)	(14.0, 3.0)	(15.0, 6.0)	(16.0, 18.0)	(17.0, 63.0)	(18.0, 197.0)	(19.0, 534.0)	(20.0, 1233.0)	(21.0, 2559.0)	(22.0, 4703.0)	(23.0, 8602.0)	(24.0, 17092.0)	(25.0, 31122.0)	(26.0, 55458.0)	(27.0, 94198.0)	(28.0, 150893.0)	(29.0, 227809.0)	(30.0, 327223.0)	(31.0, 451649.0)	(32.0, 599904.0)	(33.0, 782530.0)	(34.0, 1004146.0)	(35.0, 1290773.0)	(36.0, 1697924.0)	(37.0, 2362369.0)	(38.0, 3757420.0)	(39.0, 9187039.0)	(40.0, 38253869.0)
NeuN_minus.B54_T1_HS	(12.0, 2.0)	(13.0, 3.0)	(14.0, 6.0)	(15.0, 4.0)	(16.0, 12.0)	(17.0, 37.0)	(18.0, 107.0)	(19.0, 281.0)	(20.0, 645.0)	(21.0, 1374.0)	(22.0, 2809.0)	(23.0, 5872.0)	(24.0, 11788.0)	(25.0, 23696.0)	(26.0, 44635.0)	(27.0, 77688.0)	(28.0, 127331.0)	(29.0, 194761.0)	(30.0, 281101.0)	(31.0, 387560.0)	(32.0, 512483.0)	(33.0, 667399.0)	(34.0, 848972.0)	(35.0, 1082390.0)	(36.0, 1402962.0)	(37.0, 1907000.0)	(38.0, 2935966.0)	(39.0, 7021147.0)	(40.0, 33906244.0)
