Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28
NeuN_plus.B47_T2_HS	(12.0, 2.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 4.0)	(16.0, 19.0)	(17.0, 53.0)	(18.0, 173.0)	(19.0, 464.0)	(20.0, 1019.0)	(21.0, 2100.0)	(22.0, 4058.0)	(23.0, 7770.0)	(24.0, 15580.0)	(25.0, 29950.0)	(26.0, 54378.0)	(27.0, 95127.0)	(28.0, 155062.0)	(29.0, 235832.0)	(30.0, 339194.0)	(31.0, 467397.0)	(32.0, 622328.0)	(33.0, 806627.0)	(34.0, 1032405.0)	(35.0, 1316542.0)	(36.0, 1712938.0)	(37.0, 2342724.0)	(38.0, 3643590.0)	(39.0, 8701910.0)	(40.0, 42547480.0)
NeuN_plus.B50_T1_HS	(15.0, 1.0)	(16.0, 7.0)	(17.0, 39.0)	(18.0, 134.0)	(19.0, 357.0)	(20.0, 930.0)	(21.0, 2234.0)	(22.0, 5158.0)	(23.0, 11401.0)	(24.0, 24759.0)	(25.0, 49571.0)	(26.0, 94443.0)	(27.0, 165829.0)	(28.0, 269424.0)	(29.0, 407962.0)	(30.0, 579774.0)	(31.0, 789416.0)	(32.0, 1027413.0)	(33.0, 1310017.0)	(34.0, 1640031.0)	(35.0, 2042314.0)	(36.0, 2597622.0)	(37.0, 3463109.0)	(38.0, 5212215.0)	(39.0, 12019967.0)	(40.0, 60555629.0)			
NeuN_plus.B51_T1_HS	(13.0, 1.0)	(14.0, 2.0)	(15.0, 5.0)	(16.0, 9.0)	(17.0, 54.0)	(18.0, 160.0)	(19.0, 395.0)	(20.0, 929.0)	(21.0, 1883.0)	(22.0, 3725.0)	(23.0, 7394.0)	(24.0, 14372.0)	(25.0, 28439.0)	(26.0, 53584.0)	(27.0, 94750.0)	(28.0, 156413.0)	(29.0, 239712.0)	(30.0, 347386.0)	(31.0, 477820.0)	(32.0, 631503.0)	(33.0, 812213.0)	(34.0, 1028853.0)	(35.0, 1304869.0)	(36.0, 1692805.0)	(37.0, 2341104.0)	(38.0, 3843240.0)	(39.0, 9255624.0)	(40.0, 52370021.0)	
NeuN_plus.B52_T1_HS	(12.0, 4.0)	(13.0, 6.0)	(14.0, 7.0)	(15.0, 6.0)	(16.0, 27.0)	(17.0, 58.0)	(18.0, 164.0)	(19.0, 481.0)	(20.0, 999.0)	(21.0, 2245.0)	(22.0, 4151.0)	(23.0, 7939.0)	(24.0, 15961.0)	(25.0, 30509.0)	(26.0, 55852.0)	(27.0, 99081.0)	(28.0, 162365.0)	(29.0, 249951.0)	(30.0, 365682.0)	(31.0, 511785.0)	(32.0, 690814.0)	(33.0, 906603.0)	(34.0, 1173118.0)	(35.0, 1513829.0)	(36.0, 1987732.0)	(37.0, 2749218.0)	(38.0, 4343519.0)	(39.0, 10933576.0)	(40.0, 52823990.0)
NeuN_plus.B53_T1_HS	(14.0, 2.0)	(15.0, 3.0)	(16.0, 21.0)	(17.0, 68.0)	(18.0, 232.0)	(19.0, 547.0)	(20.0, 1304.0)	(21.0, 2633.0)	(22.0, 4826.0)	(23.0, 8871.0)	(24.0, 16868.0)	(25.0, 30879.0)	(26.0, 54952.0)	(27.0, 93887.0)	(28.0, 151800.0)	(29.0, 231100.0)	(30.0, 333441.0)	(31.0, 462140.0)	(32.0, 618578.0)	(33.0, 808345.0)	(34.0, 1042365.0)	(35.0, 1340903.0)	(36.0, 1753036.0)	(37.0, 2411221.0)	(38.0, 3773032.0)	(39.0, 9255033.0)	(40.0, 44409235.0)		
NeuN_plus.B54_T1_HS	(13.0, 1.0)	(14.0, 5.0)	(15.0, 2.0)	(16.0, 11.0)	(17.0, 37.0)	(18.0, 135.0)	(19.0, 344.0)	(20.0, 733.0)	(21.0, 1621.0)	(22.0, 3187.0)	(23.0, 6772.0)	(24.0, 13918.0)	(25.0, 28054.0)	(26.0, 53706.0)	(27.0, 94619.0)	(28.0, 156163.0)	(29.0, 241529.0)	(30.0, 350736.0)	(31.0, 485321.0)	(32.0, 647026.0)	(33.0, 838536.0)	(34.0, 1070944.0)	(35.0, 1364711.0)	(36.0, 1763254.0)	(37.0, 2391476.0)	(38.0, 3661506.0)	(39.0, 8644704.0)	(40.0, 49410436.0)	
NeuN_plus.B55_T1_HS	(14.0, 4.0)	(15.0, 5.0)	(16.0, 10.0)	(17.0, 73.0)	(18.0, 217.0)	(19.0, 546.0)	(20.0, 1205.0)	(21.0, 2587.0)	(22.0, 4921.0)	(23.0, 9579.0)	(24.0, 18260.0)	(25.0, 34125.0)	(26.0, 61404.0)	(27.0, 104045.0)	(28.0, 166536.0)	(29.0, 251810.0)	(30.0, 357162.0)	(31.0, 489390.0)	(32.0, 646684.0)	(33.0, 832365.0)	(34.0, 1060341.0)	(35.0, 1344953.0)	(36.0, 1731242.0)	(37.0, 2334747.0)	(38.0, 3541241.0)	(39.0, 8204299.0)	(40.0, 37982018.0)		
NeuN_plus.B56_T1_HS	(14.0, 2.0)	(15.0, 3.0)	(16.0, 5.0)	(17.0, 35.0)	(18.0, 96.0)	(19.0, 284.0)	(20.0, 608.0)	(21.0, 1347.0)	(22.0, 2805.0)	(23.0, 5635.0)	(24.0, 11826.0)	(25.0, 23645.0)	(26.0, 44831.0)	(27.0, 79710.0)	(28.0, 130552.0)	(29.0, 199016.0)	(30.0, 287569.0)	(31.0, 396423.0)	(32.0, 524253.0)	(33.0, 677913.0)	(34.0, 860975.0)	(35.0, 1093286.0)	(36.0, 1409755.0)	(37.0, 1906914.0)	(38.0, 2919926.0)	(39.0, 6897188.0)	(40.0, 34796583.0)		
NeuN_plus.B57_T2_HS	(14.0, 2.0)	(15.0, 15.0)	(16.0, 41.0)	(17.0, 138.0)	(18.0, 519.0)	(19.0, 1805.0)	(20.0, 5725.0)	(21.0, 16294.0)	(22.0, 39477.0)	(23.0, 84329.0)	(24.0, 159558.0)	(25.0, 271504.0)	(26.0, 421453.0)	(27.0, 603795.0)	(28.0, 815952.0)	(29.0, 1053703.0)	(30.0, 1312776.0)	(31.0, 1612753.0)	(32.0, 1989185.0)	(33.0, 2514939.0)	(34.0, 3363405.0)	(35.0, 4955431.0)	(36.0, 8185998.0)	(37.0, 8763234.0)	(38.0, 4665825.0)	(39.0, 6451008.0)	(40.0, 10007893.0)		
NeuN_plus.B58_T1_HS	(13.0, 2.0)	(14.0, 6.0)	(15.0, 6.0)	(16.0, 14.0)	(17.0, 34.0)	(18.0, 88.0)	(19.0, 227.0)	(20.0, 576.0)	(21.0, 1467.0)	(22.0, 3428.0)	(23.0, 8311.0)	(24.0, 19074.0)	(25.0, 39721.0)	(26.0, 77414.0)	(27.0, 137826.0)	(28.0, 225001.0)	(29.0, 343108.0)	(30.0, 489544.0)	(31.0, 664505.0)	(32.0, 864051.0)	(33.0, 1097390.0)	(34.0, 1359921.0)	(35.0, 1681773.0)	(36.0, 2113277.0)	(37.0, 2785150.0)	(38.0, 4123006.0)	(39.0, 8917944.0)	(40.0, 38850317.0)	
NeuN_plus.B60_T1_HS	(12.0, 1.0)	(13.0, 3.0)	(14.0, 8.0)	(15.0, 16.0)	(16.0, 15.0)	(17.0, 38.0)	(18.0, 112.0)	(19.0, 246.0)	(20.0, 630.0)	(21.0, 1570.0)	(22.0, 3644.0)	(23.0, 8325.0)	(24.0, 19701.0)	(25.0, 40885.0)	(26.0, 79121.0)	(27.0, 140127.0)	(28.0, 227906.0)	(29.0, 349297.0)	(30.0, 499801.0)	(31.0, 680838.0)	(32.0, 890357.0)	(33.0, 1135217.0)	(34.0, 1420320.0)	(35.0, 1776671.0)	(36.0, 2263882.0)	(37.0, 3034288.0)	(38.0, 4625813.0)	(39.0, 10623016.0)	(40.0, 46191462.0)
NeuN_plus.B61_T1_HS	(13.0, 3.0)	(14.0, 0.0)	(15.0, 9.0)	(16.0, 14.0)	(17.0, 35.0)	(18.0, 122.0)	(19.0, 309.0)	(20.0, 718.0)	(21.0, 1794.0)	(22.0, 3717.0)	(23.0, 8108.0)	(24.0, 17171.0)	(25.0, 34419.0)	(26.0, 63823.0)	(27.0, 112022.0)	(28.0, 181803.0)	(29.0, 277237.0)	(30.0, 395902.0)	(31.0, 543243.0)	(32.0, 713299.0)	(33.0, 914093.0)	(34.0, 1152720.0)	(35.0, 1445756.0)	(36.0, 1847842.0)	(37.0, 2471222.0)	(38.0, 3746222.0)	(39.0, 8494570.0)	(40.0, 33308281.0)	
NeuN_plus.B62_T1_HS	(12.0, 1.0)	(13.0, 1.0)	(14.0, 3.0)	(15.0, 11.0)	(16.0, 8.0)	(17.0, 33.0)	(18.0, 107.0)	(19.0, 225.0)	(20.0, 596.0)	(21.0, 1529.0)	(22.0, 3620.0)	(23.0, 8137.0)	(24.0, 18420.0)	(25.0, 37630.0)	(26.0, 72451.0)	(27.0, 127967.0)	(28.0, 207848.0)	(29.0, 315237.0)	(30.0, 448881.0)	(31.0, 609016.0)	(32.0, 797425.0)	(33.0, 1014042.0)	(34.0, 1272955.0)	(35.0, 1590800.0)	(36.0, 2028075.0)	(37.0, 2725353.0)	(38.0, 4183175.0)	(39.0, 9743084.0)	(40.0, 40632540.0)
NeuN_plus.B65_T1_HS	(14.0, 2.0)	(15.0, 0.0)	(16.0, 6.0)	(17.0, 32.0)	(18.0, 56.0)	(19.0, 197.0)	(20.0, 532.0)	(21.0, 1367.0)	(22.0, 2888.0)	(23.0, 6770.0)	(24.0, 15220.0)	(25.0, 32210.0)	(26.0, 62651.0)	(27.0, 112622.0)	(28.0, 185537.0)	(29.0, 283914.0)	(30.0, 406632.0)	(31.0, 551959.0)	(32.0, 719678.0)	(33.0, 911401.0)	(34.0, 1136493.0)	(35.0, 1407553.0)	(36.0, 1778593.0)	(37.0, 2376815.0)	(38.0, 3745716.0)	(39.0, 8331462.0)	(40.0, 37079886.0)		
NeuN_plus.B66_T2_HS	(12.0, 2.0)	(13.0, 2.0)	(14.0, 7.0)	(15.0, 5.0)	(16.0, 13.0)	(17.0, 20.0)	(18.0, 56.0)	(19.0, 162.0)	(20.0, 373.0)	(21.0, 871.0)	(22.0, 2021.0)	(23.0, 4812.0)	(24.0, 10936.0)	(25.0, 23646.0)	(26.0, 46884.0)	(27.0, 86121.0)	(28.0, 142097.0)	(29.0, 220903.0)	(30.0, 317952.0)	(31.0, 436934.0)	(32.0, 574872.0)	(33.0, 735026.0)	(34.0, 923548.0)	(35.0, 1160434.0)	(36.0, 1477883.0)	(37.0, 1976920.0)	(38.0, 3008773.0)	(39.0, 7202493.0)	(40.0, 36007818.0)
NeuN_plus.B69_T1_HS	(13.0, 4.0)	(14.0, 5.0)	(15.0, 1.0)	(16.0, 3.0)	(17.0, 21.0)	(18.0, 40.0)	(19.0, 136.0)	(20.0, 467.0)	(21.0, 1733.0)	(22.0, 5386.0)	(23.0, 15926.0)	(24.0, 40385.0)	(25.0, 89951.0)	(26.0, 174628.0)	(27.0, 306124.0)	(28.0, 482515.0)	(29.0, 704561.0)	(30.0, 960976.0)	(31.0, 1245847.0)	(32.0, 1566156.0)	(33.0, 1931354.0)	(34.0, 2395964.0)	(35.0, 3090957.0)	(36.0, 4707000.0)	(37.0, 10061320.0)	(38.0, 13309134.0)	(39.0, 10621708.0)	(40.0, 20105290.0)	
NeuN_plus.B70_T1_HS	(16.0, 6.0)	(17.0, 11.0)	(18.0, 39.0)	(19.0, 106.0)	(20.0, 353.0)	(21.0, 1199.0)	(22.0, 3550.0)	(23.0, 10206.0)	(24.0, 25635.0)	(25.0, 56129.0)	(26.0, 108743.0)	(27.0, 189764.0)	(28.0, 297893.0)	(29.0, 435095.0)	(30.0, 595588.0)	(31.0, 772764.0)	(32.0, 973234.0)	(33.0, 1200529.0)	(34.0, 1483683.0)	(35.0, 1903483.0)	(36.0, 2850068.0)	(37.0, 5900531.0)	(38.0, 7835901.0)	(39.0, 6299282.0)	(40.0, 11843564.0)				
NeuN_plus.B71_T1_HS	(12.0, 1.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 1.0)	(16.0, 2.0)	(17.0, 9.0)	(18.0, 24.0)	(19.0, 58.0)	(20.0, 170.0)	(21.0, 474.0)	(22.0, 1194.0)	(23.0, 3152.0)	(24.0, 7870.0)	(25.0, 18238.0)	(26.0, 37217.0)	(27.0, 69877.0)	(28.0, 115543.0)	(29.0, 178307.0)	(30.0, 255089.0)	(31.0, 345079.0)	(32.0, 445230.0)	(33.0, 557972.0)	(34.0, 687711.0)	(35.0, 840774.0)	(36.0, 1046506.0)	(37.0, 1369609.0)	(38.0, 2048370.0)	(39.0, 4842345.0)	(40.0, 30636107.0)
NeuN_plus.B72_T1_HS	(12.0, 1.0)	(13.0, 3.0)	(14.0, 1.0)	(15.0, 3.0)	(16.0, 4.0)	(17.0, 27.0)	(18.0, 79.0)	(19.0, 241.0)	(20.0, 537.0)	(21.0, 1219.0)	(22.0, 2698.0)	(23.0, 6211.0)	(24.0, 14172.0)	(25.0, 29260.0)	(26.0, 58729.0)	(27.0, 105627.0)	(28.0, 173047.0)	(29.0, 267185.0)	(30.0, 381323.0)	(31.0, 520478.0)	(32.0, 681307.0)	(33.0, 863299.0)	(34.0, 1079463.0)	(35.0, 1343418.0)	(36.0, 1699489.0)	(37.0, 2253970.0)	(38.0, 3367780.0)	(39.0, 7743000.0)	(40.0, 44340735.0)
NeuN_plus.B73_T1_HS	(12.0, 1.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 1.0)	(16.0, 4.0)	(17.0, 21.0)	(18.0, 64.0)	(19.0, 203.0)	(20.0, 501.0)	(21.0, 1194.0)	(22.0, 2586.0)	(23.0, 5828.0)	(24.0, 13146.0)	(25.0, 27120.0)	(26.0, 53777.0)	(27.0, 96865.0)	(28.0, 159525.0)	(29.0, 245614.0)	(30.0, 352597.0)	(31.0, 483336.0)	(32.0, 633546.0)	(33.0, 810185.0)	(34.0, 1013542.0)	(35.0, 1267859.0)	(36.0, 1610253.0)	(37.0, 2131257.0)	(38.0, 3172037.0)	(39.0, 7179146.0)	(40.0, 41036629.0)
NeuN_plus.B74_T1_HS	(12.0, 2.0)	(13.0, 4.0)	(14.0, 2.0)	(15.0, 14.0)	(16.0, 9.0)	(17.0, 37.0)	(18.0, 119.0)	(19.0, 305.0)	(20.0, 692.0)	(21.0, 1618.0)	(22.0, 3590.0)	(23.0, 7893.0)	(24.0, 17147.0)	(25.0, 34820.0)	(26.0, 65784.0)	(27.0, 116905.0)	(28.0, 188542.0)	(29.0, 286505.0)	(30.0, 408347.0)	(31.0, 555903.0)	(32.0, 728301.0)	(33.0, 926522.0)	(34.0, 1165279.0)	(35.0, 1463060.0)	(36.0, 1867770.0)	(37.0, 2502886.0)	(38.0, 3838191.0)	(39.0, 9252481.0)	(40.0, 36058418.0)
