Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
NeuN_minus.B46_T2_HS	(1.0, 60.66053976431833)	(2.0, 13.097394166537635)	(3.0, 4.3485008889595065)	(4.0, 2.1321953655270582)	(5.0, 1.2762338435059382)	(6.0, 0.8442583332001161)	(7.0, 0.5728516933682924)	(8.0, 0.4362241339291573)	(9.0, 0.3378822068622567)	('>10', 2.5845740354420106)	('>50', 0.9453873330577832)	('>100', 4.491309082871631)	('>500', 3.1518873061378794)	('>1k', 4.975973973677178)	('>5k', 0.14478787260518006)	('>10k+', 0.0)
NeuN_minus.B47_T2_HS	(1.0, 44.74530708210268)	(2.0, 11.898870648149549)	(3.0, 4.480606770469668)	(4.0, 2.296611393464197)	(5.0, 1.4112515948741005)	(6.0, 0.9942693844047087)	(7.0, 0.6883040629034605)	(8.0, 0.564625810393384)	(9.0, 0.4769731185677849)	('>10', 3.7127205873850375)	('>50', 1.0545875507498181)	('>100', 5.524586255965026)	('>500', 4.721651161981527)	('>1k', 14.384729387369743)	('>5k', 2.5361038596930388)	('>10k+', 0.5088013315262566)
NeuN_minus.B48_T2_HS	(1.0, 65.01661331239549)	(2.0, 10.187629928432111)	(3.0, 2.3471429207977277)	(4.0, 0.9460288499005783)	(5.0, 0.5534968953889402)	(6.0, 0.3475540314780452)	(7.0, 0.2695948463531275)	(8.0, 0.19420491708586832)	(9.0, 0.17250552213348558)	('>10', 1.963105761670093)	('>50', 1.0219533049254694)	('>100', 4.953877400919074)	('>500', 3.7957327338726032)	('>1k', 7.570378402568556)	('>5k', 0.6601811720785371)	('>10k+', 0.0)
NeuN_minus.B50_T1_HS	(1.0, 55.67821218228249)	(2.0, 16.344816052903138)	(3.0, 5.583473233744856)	(4.0, 2.496040929165278)	(5.0, 1.3594501208112038)	(6.0, 0.8555942314552432)	(7.0, 0.5454146721096974)	(8.0, 0.4471314853775701)	(9.0, 0.3007847642797563)	('>10', 2.166832557058246)	('>50', 0.7618648254240242)	('>100', 3.2384872187260028)	('>500', 2.820949654273176)	('>1k', 6.64324004527141)	('>5k', 0.7171414218324103)	('>10k+', 0.04056660528570578)
NeuN_minus.B51_T1_HS	(1.0, 48.64425603335331)	(2.0, 15.742901207086819)	(3.0, 6.740095826425114)	(4.0, 3.5952450802007574)	(5.0, 2.2612079974396635)	(6.0, 1.503850636774651)	(7.0, 1.0781871420384028)	(8.0, 0.7718797625810601)	(9.0, 0.6001575710796132)	('>10', 3.5010259812668787)	('>50', 0.9303006813611809)	('>100', 4.486485436370876)	('>500', 3.3233402850245684)	('>1k', 6.384288429156509)	('>5k', 0.43677792984039115)	('>10k+', 0.0)
NeuN_minus.B52_T1_HS	(1.0, 61.865409242166216)	(2.0, 11.394939725014499)	(3.0, 3.2380160291923676)	(4.0, 1.2703439887222774)	(5.0, 0.7164388811593453)	(6.0, 0.47086898156590173)	(7.0, 0.3124086892654753)	(8.0, 0.2123890686982313)	(9.0, 0.17821640654800208)	('>10', 1.8822213362555809)	('>50', 0.9316775180527549)	('>100', 4.17021144437595)	('>500', 3.2869577108722807)	('>1k', 8.911514796743553)	('>5k', 1.0872150897358717)	('>10k+', 0.07117109163173765)
NeuN_minus.B53_T1_HS	(1.0, 59.411346060881144)	(2.0, 12.955079015457214)	(3.0, 4.0634525249395015)	(4.0, 1.8636846408683854)	(5.0, 1.1210754149876632)	(6.0, 0.7084142597064375)	(7.0, 0.50660948440852)	(8.0, 0.37136838971066677)	(9.0, 0.2780956155708349)	('>10', 2.091654655721638)	('>50', 0.8202232304864301)	('>100', 3.840838512431384)	('>500', 3.325299964562256)	('>1k', 7.825425624461286)	('>5k', 0.8174326058066405)	('>10k+', 0.0)
NeuN_minus.B54_T1_HS	(1.0, 64.15657571984073)	(2.0, 11.358533023331113)	(3.0, 2.9966556246748906)	(4.0, 1.375577366820254)	(5.0, 0.7314270243672177)	(6.0, 0.5032302583956528)	(7.0, 0.35403098681538364)	(8.0, 0.25632700081997567)	(9.0, 0.1806429894219453)	('>10', 2.033000197776675)	('>50', 1.0325557489793804)	('>100', 4.748228098379291)	('>500', 3.5739887004480995)	('>1k', 6.346211270701148)	('>5k', 0.3530159892284509)	('>10k+', 0.0)
NeuN_minus.B55_T1_HS	(1.0, 53.727203568917844)	(2.0, 12.802632828276392)	(3.0, 4.984414082766399)	(4.0, 2.7371260710341523)	(5.0, 1.8516645740215734)	(6.0, 1.3516046648382232)	(7.0, 0.988767011952549)	(8.0, 0.7598102227748383)	(9.0, 0.6398631990167911)	('>10', 4.801434297594447)	('>50', 1.085283032370176)	('>100', 4.969691052244876)	('>500', 3.381597722928917)	('>1k', 5.593241452618495)	('>5k', 0.27945611177155555)	('>10k+', 0.046210106872768726)
NeuN_minus.B56_T1_HS	(1.0, 52.31014661398555)	(2.0, 15.412014277877747)	(3.0, 5.8692521686075585)	(4.0, 3.0500872500919436)	(5.0, 1.9254262164428326)	(6.0, 1.328222777670172)	(7.0, 0.9723693853044273)	(8.0, 0.7597638430691567)	(9.0, 0.5844334785560212)	('>10', 4.309468185939036)	('>50', 0.839148668177868)	('>100', 3.712056832390721)	('>500', 2.812101162702927)	('>1k', 5.651790674701932)	('>5k', 0.4142574106201037)	('>10k+', 0.0494610538620009)
